69,35,31,297,23,297,2,9,901
71,39,19,46,19,46,3,7,55
73,37,19,51,19,51,3,11,17
77,40,14,32,9,32,3,9,25
79,44,60,330,54,330,3,10,407
80,44,14,31,14,31,3,10,78
80,44,14,87,5,87,4,8,58
81,44,2,2,1,2,2,10,0
82,46,5,8,5,8,3,9,42
83,44,16,32,15,32,4,10,33
85,46,23,130,23,130,3,9,214
86,48,303,3539,189,3539,3,9,8036
86,48,33,182,33,182,4,8,167
87,46,3,3,2,3,3,9,58
87,47,24,130,23,130,4,8,380
88,50,8,21,6,21,4,8,3
90,48,3,3,2,3,4,10,3
90,51,57,669,42,669,3,11,1463
90,53,9,17,9,17,3,11,53
91,47,52,217,52,217,4,10,120
91,47,8,13,7,13,3,10,12
93,50,80,440,25,440,4,10,1207
93,52,45,273,14,273,4,10,247
93,53,14,38,14,38,4,8,85
93,55,23,98,17,98,4,10,302
94,50,36,133,23,133,2,12,295
95,54,29,92,21,92,3,10,168
96,52,39,377,19,377,4,10,729
96,53,36,108,36,108,3,8,128
96,54,37,255,29,255,4,8,577
96,56,102,599,29,599,5,9,386
97,49,81,714,50,714,3,9,544
97,50,36,179,23,179,2,10,186
97,50,47,258,44,258,3,9,246
97,51,7,21,7,21,3,9,15
97,53,64,182,31,182,4,11,380
98,55,35,86,10,86,4,9,430
99,50,122,779,51,779,4,9,403
99,50,286,2834,79,2834,5,12,19594
99,52,11,18,8,18,5,10,105
99,52,25,212,10,212,4,9,248
99,54,174,1052,142,1052,2,8,1494
99,55,121,816,50,816,4,7,1478
100,55,52,242,39,242,4,10,462
100,57,11,24,11,24,4,9,77
101,58,13,24,13,24,3,10,59
101,59,91,778,67,778,3,10,2342
102,56,36,174,23,174,4,9,202
102,59,21,59,15,59,3,8,64
103,55,24,66,14,66,4,11,68
105,54,2,2,1,2,3,10,1
105,56,201,2078,121,2078,3,9,1129
105,62,44,261,27,261,3,8,235
106,58,17,50,13,50,3,10,169
106,61,226,3574,80,3574,3,9,4055
107,58,34,109,28,109,4,9,194
108,58,125,1866,41,1866,2,10,4341
108,60,10,16,7,16,3,11,65
109,65,17,49,15,49,3,8,80
109,66,4,7,3,7,4,10,11
110,60,78,633,43,633,3,13,417
110,61,2,2,1,2,3,10,1
110,61,3,3,2,3,5,13,16
110,62,15,55,15,55,3,10,31
110,62,20,42,5,42,3,8,619
110,65,4,5,4,5,3,10,5
111,61,21,78,14,78,3,11,125
112,62,22,70,11,70,4,9,267
112,68,16,49,7,49,4,9,128
113,63,46,150,30,150,4,11,310
113,65,2,2,2,2,3,10,0
114,60,53,307,27,307,3,10,630
114,61,63,284,11,284,5,15,442
114,62,97,840,86,840,4,10,780
114,63,16,79,8,79,3,10,388
114,63,23,96,23,96,3,10,419
115,60,224,1599,111,1599,3,11,1902
115,64,51,270,21,270,4,9,656
115,65,38,176,36,176,3,9,122
116,63,384,5027,240,5027,2,13,11519
116,64,33,148,24,148,4,11,403
116,69,63,668,32,668,3,13,1190
117,61,2,2,2,2,4,10,0
117,62,51,221,48,221,4,12,572
117,65,20,48,14,48,5,9,98
117,66,51,430,28,430,4,11,3447
118,63,29,93,16,93,3,10,506
118,65,18,49,14,49,3,10,145
118,65,4,4,3,4,2,10,6
118,65,68,313,59,313,3,10,738
119,63,106,674,38,674,4,10,800
119,73,93,875,43,875,3,11,1096
120,65,2,2,1,2,4,10,0
120,66,25,159,10,159,6,11,606
120,70,6,17,5,17,2,11,485
120,73,65,485,47,485,6,11,1387
121,63,45,318,31,318,3,13,237
122,66,50,197,44,197,4,11,208
122,71,2,2,1,2,3,9,0
123,62,3,3,3,3,4,12,34
123,66,91,476,38,476,4,10,221
123,69,156,1557,139,1557,3,13,3494
123,70,170,1548,58,1548,4,10,2807
124,65,4,5,3,5,4,13,11
124,70,111,392,84,392,4,11,1540
124,71,22,56,18,56,3,10,71
125,69,12,67,12,67,4,10,297
125,69,4,5,4,5,4,9,82
125,69,6,9,3,9,4,11,205
126,73,23,84,10,84,3,12,214
126,73,3,3,2,3,3,11,43
127,69,445,8400,314,8400,4,10,189306
129,67,125,778,107,778,4,12,935
129,78,2547,50877,659,50877,2,15,160989
131,72,42,249,29,249,3,13,633
132,72,30,162,8,162,5,12,148
133,76,12,20,12,20,4,12,56
133,80,46,208,42,208,2,12,523
134,73,156,2118,126,2118,4,10,14424
134,73,313,5024,143,5024,2,13,26378
134,79,2272,43712,788,43712,3,13,772105
135,78,18,44,18,44,4,10,34
136,74,64,283,41,283,4,11,112
136,79,1004,18376,399,18376,3,9,32342
137,75,18,87,18,87,2,14,77
138,80,29,132,11,132,5,12,86
138,81,89,657,41,657,4,11,481
140,76,69,346,30,346,4,11,798
140,79,1277,20967,479,20967,6,13,51129
141,77,109,504,88,504,3,11,302
141,77,24,65,6,65,3,10,249
141,78,4,5,4,5,4,16,98
142,79,6,8,4,8,4,12,306
142,80,36,98,33,98,3,12,238
142,81,5,7,4,7,4,13,74
144,76,95,378,48,378,4,10,423
144,82,68,572,56,572,3,11,695
144,83,35,135,34,135,4,11,319
144,83,4,6,4,6,5,13,19
145,82,46,210,34,210,4,11,609
145,84,471,3142,177,3142,3,14,3821
146,86,70,434,45,434,3,11,533
147,78,5596,93398,3042,93398,5,11,180199
147,78,91,762,57,762,4,12,578
147,82,802,7682,338,7682,4,12,12577
147,86,37,181,16,181,4,9,399
148,84,117,849,106,849,4,13,985
149,86,13,36,7,36,4,14,480
150,83,322,4378,140,4378,3,13,7277
150,84,662,4590,386,4590,4,13,6425
152,81,74,431,63,431,4,11,1769
152,88,45,138,32,138,3,13,458
153,82,4,5,4,5,4,14,313
153,83,57,248,46,248,5,12,1366
154,85,8,14,7,14,5,10,27
154,91,44,130,32,130,4,12,298
155,85,218,2444,94,2444,4,10,6156
157,86,127,603,81,603,4,10,8085
158,89,47,196,36,196,3,15,166
158,91,68,299,63,299,4,10,1036
159,89,21,62,18,62,5,10,589
159,90,7,13,7,13,3,9,12
160,88,131,1993,38,1993,3,14,10677
160,89,7,11,5,11,5,16,17
160,89,99,485,78,485,4,10,632
160,91,7,16,7,16,3,13,20
160,94,2039,59042,509,59042,4,12,388572
164,96,435,3385,261,3385,3,11,3838
166,90,119,1594,50,1594,3,12,6692
167,91,118,1385,38,1385,4,10,6425
168,94,2869,44404,865,44404,4,14,163135
168,95,2,2,1,2,3,12,1
170,94,163,1690,62,1690,4,13,4134
171,98,49,166,46,166,3,11,483
173,103,27,115,16,115,4,14,1212
174,100,194,882,92,882,4,13,8425
174,97,1140,10373,982,10373,2,12,15517
175,101,26,118,22,118,3,11,326
175,102,215,2066,114,2066,4,13,2772
175,102,77,296,41,296,4,12,1868
176,101,82,275,73,275,3,10,1018
176,103,61,287,40,287,4,11,1645
177,100,28,155,10,155,4,13,923
177,102,16,33,15,33,3,12,179
177,105,4,7,3,7,2,15,10
177,97,9161,182781,2743,182781,4,20,336821
178,102,14,28,14,28,3,13,649
189,109,58,544,33,544,3,17,930
190,111,70,255,35,255,3,12,2701
190,113,2,2,2,2,2,14,5
190,114,121,625,97,625,3,13,961
198,119,284,1816,105,1816,3,14,18836
